year,fie,aqi,fie_lagged,GIS_Acres
1961-01-01,1.1690728153300411,,,170.5530962612842
1962-01-01,1.181384359353407,,1.1690728153300411,0.0
1963-01-01,0.7306299072026391,,1.181384359353407,321.8868075172604
1964-01-01,1.0202436899557001,,0.7306299072026391,0.0
1965-01-01,0.2395962918222202,,1.0202436899557001,0.0
1966-01-01,1.14775738926354,,0.2395962918222202,0.0
1967-01-01,0.318878287856811,,1.14775738926354,0.0
1968-01-01,0.05633627917192825,,0.318878287856811,0.0
1969-01-01,0.2386798377282445,,0.05633627917192825,0.0
1970-01-01,0.26230855984726326,,0.2386798377282445,0.0
1971-01-01,2.051223520107245,,0.26230855984726326,0.0
1972-01-01,1.2769790390777884,,2.051223520107245,0.0
1973-01-01,0.5426233533111684,,1.2769790390777884,0.0
1974-01-01,0.8508560385204753,,0.5426233533111684,68.2698613067605
1975-01-01,0.39354399678078716,43.5989010989011,0.8508560385204753,0.0
1976-01-01,0.9206884095855169,38.074380165289256,0.39354399678078716,0.0
1977-01-01,0.7705786496114277,41.79528985507246,0.9206884095855169,0.0
1978-01-01,1.976847124252099,43.6231884057971,0.7705786496114277,2470.3873375160174
1979-01-01,0.7548288293426135,43.58139534883721,1.976847124252099,0.0
1980-01-01,1.0042868013485464,52.56680633147114,0.7548288293426135,0.0
1981-01-01,2.370883338583125,39.732484076433124,1.0042868013485464,386.9865859678174
1982-01-01,0.38931783874733106,38.16304347826087,2.370883338583125,0.0
1983-01-01,1.3025645784129114,48.57377049180328,0.38931783874733106,0.0
1984-01-01,0.9102424530426843,43.401268115942024,1.3025645784129114,0.0
1985-01-01,2.32971230865493,35.63405797101449,0.9102424530426843,80.6179760443246
1986-01-01,62.81649192219126,38.42028985507246,2.32971230865493,25770.724748524226
1987-01-01,4.242508853435478,41.080615942028984,62.81649192219126,2797.628325775861
1988-01-01,13.449039460965691,42.1175422705314,4.242508853435478,5256.99542478448
1989-01-01,6.520510263581702,45.01811594202899,13.449039460965691,7798.782866290383
1990-01-01,2.577317452040842,41.08840579710145,6.520510263581702,2646.9407151279397
1991-01-01,1.7769119090336665,43.08152173913044,2.577317452040842,0.0
1992-01-01,2.373713527188761,37.72395833333333,1.7769119090336665,135.9919005861741
1993-01-01,3.6652009461444313,36.79714673913043,2.373713527188761,332.51114147992047
1994-01-01,7.409427757776273,39.05321557971015,3.6652009461444313,0.0
1995-01-01,4.229676923373098,37.14492753623188,7.409427757776273,67.96193578526142
1996-01-01,18.60457789787721,36.60144927536232,4.229676923373098,22304.315583270803
1997-01-01,1.5774475317642633,36.5018115942029,18.60457789787721,0.0
1998-01-01,4.371604533483071,42.54528985507246,1.5774475317642633,4355.979276545503
1999-01-01,5.788899789768127,42.40942028985507,4.371604533483071,0.0
2000-01-01,25.904314041856672,54.917582417582416,5.788899789768127,25727.213639699265
2001-01-01,6.6990999954745885,51.449275362318836,25.904314041856672,28882.84250028962
2002-01-01,88.19865668347275,54.98188405797101,6.6990999954745885,194013.29111203522
2003-01-01,7.016531492067025,56.91711956521739,88.19865668347275,4117.616510559679
2004-01-01,4.586326575788058,44.21557971014493,7.016531492067025,1673.8960259412581
2005-01-01,31.68881633280428,55.82155797101449,4.586326575788058,13251.731404087579
2006-01-01,39.34849830523896,58.06702898550725,31.68881633280428,21418.947962796447
2007-01-01,10.650951841605336,56.824275362318836,39.34849830523896,378.8912264314134
2008-01-01,35.538691397021445,55.44444444444444,10.650951841605336,69590.74087982508
2009-01-01,15.609934912875051,44.613979468599034,35.538691397021445,5584.102580390174
2010-01-01,10.387325555934263,53.01902173913044,15.609934912875051,12309.693894523243
2011-01-01,67.88193212157185,60.240036231884055,10.387325555934263,139029.92502747045
2012-01-01,39.00327726474666,65.54257246376812,67.88193212157185,24897.12267798938
2013-01-01,21.07710013280958,61.08695652173913,39.00327726474666,32806.051067033724
2014-01-01,3.879224538831585,48.575181159420296,21.07710013280958,528.5267729201111
2015-01-01,3.2248286177848935,48.05783242258652,3.879224538831585,1181.854162362965
2016-01-01,91.08697778317065,50.546195652173914,3.2248286177848935,73290.30798898987
2017-01-01,33.33978568009961,52.15036231884058,91.08697778317065,6187.600707971935
2018-01-01,190.0166300808735,57.18032786885246,33.33978568009961,200029.08567929832
2019-01-01,7.6488652109055435,51.14402173913044,190.0166300808735,11042.614314692915
2020-01-01,37.26360467664891,55.011775362318836,7.6488652109055435,1073.4738091367817
